Wall time,Step,Value
1592948638.085212,3293,-115.36000061035156
1592948660.000634,3306,-117.20999908447266
1592948661.714015,3307,-117.19999694824219
1592948664.342401,3308,-117.13999938964844
1592948675.073951,3314,-117.12999725341797
1592948688.300801,3322,-118.0999984741211
1592948699.118023,3328,-118.51000213623047
1592948701.55619,3329,-118.5199966430664
1592948702.885458,3330,-119.47000122070312
1592948708.822087,3334,-119.1500015258789
1592948716.212754,3339,-119.48999786376953
1592948726.249273,3346,-120.5999984741211
1592948735.503635,3354,-119.80999755859375
1592948740.726896,3358,-119.51000213623047
1592948745.888829,3362,-118.70999908447266
1592948748.076718,3364,-117.88999938964844
1592948755.509958,3370,-116.9000015258789
1592948760.128857,3373,-116.37999725341797
1592948762.511495,3375,-116.33000183105469
1592948765.038372,3377,-115.86000061035156
1592948767.669363,3379,-115.23999786376953
1592948771.877304,3382,-113.48999786376953
1592948780.723304,3387,-113.55999755859375
1592948795.801283,3399,-110.52999877929688
1592948802.483838,3404,-109.8499984741211
1592948809.550361,3409,-108.58999633789062
1592948832.951144,3427,-107.81999969482422
1592948838.182921,3431,-106.33000183105469
1592948842.686121,3434,-106.37999725341797
1592948849.569864,3439,-105.16999816894531
1592948857.587263,3445,-104.61000061035156
1592948858.976723,3446,-104.70999908447266
1592948863.643491,3450,-104.44999694824219
1592948866.268222,3452,-104.69000244140625
1592948874.422971,3458,-104.91000366210938
1592948875.773079,3459,-104.83000183105469
1592948883.928219,3465,-104.62000274658203
1592948891.729201,3472,-104.80999755859375
1592948898.56272,3478,-104.6500015258789
1592948902.384838,3481,-105.0199966430664
1592948908.892519,3487,-104.80999755859375
1592948921.24373,3498,-104.94999694824219
1592948923.331581,3500,-105.4000015258789
